,Latitude,Longitude,Value,Bathy,Sector
284,34.70548895517815,-59.3,88.70898296373457,"[285081, 4293.72998046875]",0.0
285,34.69646601932547,-59.3,88.70855503315906,"[286084, 4316.6494140625]",0.0
286,34.6874430834728,-59.3,88.70809019112235,"[287088, 4358.80029296875]",0.0
287,34.67842014762012,-59.3,88.70758932958273,"[288092, 4386.03271484375]",0.0
288,34.66939721176745,-59.3,88.70705179849352,"[289096, 4431.09619140625]",0.0
289,34.660374275914776,-59.3,88.70647563039284,"[290100, 4469.53173828125]",0.0
290,34.6513513400621,-59.3,88.70586248687789,"[291103, 4519.47265625]",0.0
291,34.64232840420942,-59.3,88.70521076545083,"[292107, 4543.919921875]",0.0
292,34.63330546835675,-59.3,88.7045207035938,"[293111, 4575.388671875]",0.0
293,34.624282532504076,-59.3,88.70379170864481,"[294115, 4609.17919921875]",0.0
294,34.6152595966514,-59.3,88.70302451443612,"[295119, 4628.4501953125]",0.0
295,34.60623666079873,-59.3,88.702217093202,"[296122, 4664.77978515625]",0.0
296,34.59721372494605,-59.3,88.7013695307839,"[297126, 4667.57568359375]",0.0
297,34.588190789093375,-59.3,88.70048288833237,"[298130, 4612.6884765625]",0.0
298,34.579167853240705,-59.3,88.699554672261,"[299134, 4646.48876953125]",0.0
299,34.57014491738803,-59.3,88.69858617673475,"[300138, 4675.4501953125]",0.0
300,34.56112198153536,-59.3,88.69757752704612,"[301141, 4704.2197265625]",0.0
301,34.55209904568268,-59.3,88.69652600533752,"[302145, 4705.388671875]",0.0
302,34.543076109830004,-59.3,88.69543320677138,"[303149, 4700.181640625]",0.0
303,34.534053173977334,-59.29999999999999,88.69429740784193,"[304153, 4688.9658203125]",0.0
304,34.52503023812466,-59.3,88.69312009463519,"[305157, 4673.8994140625]",0.0
305,34.51600730227198,-59.29999999999999,88.69189905187793,"[306161, 4669.2763671875]",0.0
306,34.50698436641931,-59.3,88.69063379017723,"[307164, 4669.00537109375]",0.0
307,34.49796143056663,-59.29999999999999,88.68932660493084,"[308168, 4670.35107421875]",0.0
308,34.48893849471396,-59.3,88.68797485434732,"[309172, 4675.02490234375]",0.0
309,34.479915558861286,-59.3,88.68657880175937,"[310176, 4683.55517578125]",0.0
310,34.47089262300861,-59.300000000000004,88.685136478522,"[311180, 4700.4130859375]",0.0
311,34.46186968715593,-59.3,88.68364992688373,"[312183, 4713.40478515625]",0.0
312,34.45284675130326,-59.300000000000004,88.68211849410142,"[313187, 4727.1044921875]",0.0
313,34.443823815450585,-59.3,88.68053888004002,"[314191, 4739.86279296875]",0.0
314,34.434800879597915,-59.300000000000004,88.67891478638708,"[315195, 4752.84912109375]",0.0
315,34.42577794374524,-59.3,88.67724308229674,"[316199, 4762.86328125]",0.0
316,34.41675500789257,-59.3,88.67552427600717,"[317202, 4772.9609375]",0.0
317,34.40773207203989,-59.3,88.67375634189548,"[318206, 4777.9931640625]",0.0
318,34.398709136187215,-59.3,88.67194161878783,"[319210, 4785.0732421875]",0.0
319,34.38968620033454,-59.3,88.67007779484152,"[320214, 4794.54833984375]",0.0
320,34.38066326448187,-59.3,88.66816577555724,"[321218, 4807.46826171875]",0.0
321,34.37164032862919,-59.3,88.66620347314284,"[322221, 4821.6611328125]",0.0
322,34.36261739277652,-59.3,88.66419111588544,"[323225, 4845.83935546875]",0.0
323,34.353594456923844,-59.3,88.66212902504148,"[324229, 4862.03857421875]",0.0
324,34.34457152107117,-59.3,88.66001607352939,"[325233, 4866.72412109375]",0.0
325,34.33554858521849,-59.3,88.65785066678242,"[326237, 4870.88037109375]",0.0
326,34.32652564936582,-59.3,88.65563487620992,"[327240, 4882.8759765625]",0.0
327,34.31750271351314,-59.3,88.6533670285435,"[328244, 4896.3662109375]",0.0
328,34.30847977766047,-59.3,88.65104483912322,"[329248, 4920.29638671875]",0.0
